Name,total,recoverd,deaths
USA,"12,450,666 ","7,403,847","261,790"
Spain,"1,589,219 ",N/A,"42,619"
Italy,"1,380,531 ","539,524","49,261"
Colombia,"1,240,493 ","1,144,923","35,104"
Mexico,"1,032,688 ","774,930","101,373"
Argentina,"1,366,182 ","1,187,053","36,902"
UK,"1,493,383 ",N/A,"54,626"
Russia,"2,089,329 ","1,595,443","36,179"
France,"2,127,051 ","149,521","48,518"
India,"9,095,908 ","8,521,617","133,263"
Brazil,"6,052,786 ","5,429,158","169,016"
Iraq,"533,555 ","463,040","11,925"
South Africa,"765,409 ","707,784","20,845"
China,"86,431 ","81,481","4,634"
Vanuatu,1 ,0,0
Chile,"539,143 ","514,584","15,030"
Belgium,"556,904 ","35,810","15,522"
Ukraine,"624,744 ","286,917","10,951"
Marshall Islands,4 ,1,0
Samoa,1 ,0,0
Western Sahara,10 ,8,1
Wallis and Futuna,2 ,1,0
Anguilla,3 ,3,0
Solomon Islands,16 ,5,0
Greenland,18 ,18,0
Montserrat,13 ,12,1
Saint Pierre Miquelon,16 ,12,0
Saint Kitts and Nevis,19 ,19,0
Falkland Islands,16 ,13,0
Laos,25 ,23,0
Timor-Leste,30 ,30,0
Vatican City,27 ,15,0
New Caledonia,32 ,32,0
Macao,46 ,46,0
British Virgin Islands,71 ,70,1
Dominica,72 ,55,0
Grenada,41 ,30,0
St. Barth,127 ,94,0
St. Vincent Grenadines,84 ,78,0
Fiji,35 ,33,2
Antigua and Barbuda,139 ,128,4
Brunei ,148 ,145,3
Cambodia,306 ,295,0
Saint Lucia,204 ,60,2
Cayman Islands,261 ,245,2
Caribbean Netherlands,158 ,152,3
Bermuda,227 ,200,9
Seychelles,163 ,159,0
Barbados,255 ,241,7
Bhutan,379 ,360,0
Comoros,596 ,572,7
Monaco,581 ,507,3
Eritrea,551 ,473,0
Papua New Guinea,604 ,586,7
Mauritius,494 ,433,10
Isle of Man,368 ,332,25
Taiwan,617 ,548,7
Tanzania,509 ,183,21
Faeroe Islands,499 ,497,0
Mongolia,629 ,340,0
Saint Martin,690 ,598,12
Sint Maarten,996 ,890,25
Sao Tome and Principe,979 ,920,17
Gibraltar,953 ,848,3
Liechtenstein,"1,109 ",883,8
Vietnam,"1,306 ","1,142",35
Turks and Caicos,746 ,700,6
Burundi,656 ,575,1
Channel Islands,"1,094 ",887,48
San Marino,"1,395 ","1,082",43
Curaçao,"1,682 ",988,3
Chad,"1,633 ","1,469",101
Liberia,"1,551 ","1,331",82
Niger,"1,351 ","1,158",70
New Zealand,"2,028 ","1,953",25
Lesotho,"2,085 ","1,276",44
Sierra Leone,"2,405 ","1,827",74
Yemen,"2,093 ","1,441",608
Guinea-Bissau,"2,421 ","2,286",43
Benin,"2,916 ","2,579",43
Togo,"2,829 ","2,209",64
Mali,"4,206 ","3,012",143
Thailand,"3,913 ","3,761",60
Burkina Faso,"2,703 ","2,521",68
South Sudan,"3,047 ","1,290",60
Gambia,"3,726 ","3,582",123
Aruba,"4,724 ","4,588",45
Somalia,"4,382 ","3,384",108
CAR,"4,911 ","1,924",63
Martinique,"4,732 ",98,37
Uruguay,"4,564 ","3,621",69
Suriname,"5,295 ","5,166",116
Guyana,"5,093 ","4,018",143
Mayotte,"5,036 ","2,964",48
Equatorial Guinea,"5,130 ","4,975",85
Iceland,"5,269 ","5,019",26
Rwanda,"5,620 ","5,163",46
Belize,"5,110 ","2,800",112
Hong Kong,"5,629 ","5,259",108
Malawi,"6,003 ","5,441",185
Nicaragua,"5,725 ","4,225",159
Andorra,"6,207 ","5,290",76
Eswatini,"6,205 ","5,850",119
Trinidad and Tobago,"6,324 ","5,559",115
Congo,"5,632 ","3,887",93
Djibouti,"5,661 ","5,552",61
Syria,"7,154 ","3,043",372
Cyprus,"8,456 ","2,055",43
Mauritania,"8,096 ","7,573",169
Guadeloupe,"8,225 ","2,242",144
Bahamas,"7,395 ","5,628",163
Gabon,"9,131 ","8,976",59
Malta,"8,822 ","6,565",111
Cuba,"7,798 ","7,307",132
Haiti,"9,214 ","7,854",232
Botswana,"9,594 ","7,296",31
Réunion,"7,501 ","6,660",35
Cabo Verde,"10,234 ","9,649",104
Jamaica,"10,240 ","5,481",237
French Guiana,"11,014 ","9,995",70
Zimbabwe,"9,172 ","8,235",265
Tajikistan,"11,854 ","11,229",86
Estonia,"9,724 ","5,699",88
Maldives,"12,578 ","11,559",46
DRC,"12,180 ","11,300",327
Guinea,"12,826 ","11,838",75
Latvia,"12,744 ","1,557",153
Mozambique,"14,981 ","13,151",123
Senegal,"15,882 ","15,488",330
Angola,"14,413 ","7,273",336
Namibia,"13,811 ","13,209",145
Madagascar,"17,310 ","16,592",250
French Polynesia,"12,978 ","4,842",63
Sudan,"15,839 ","9,727","1,193"
Zambia,"17,394 ","16,659",356
Ivory Coast,"21,126 ","20,777",129
Uganda,"17,667 ","8,611",168
Sri Lanka,"19,771 ","14,069",83
Finland,"21,639 ","15,300",375
Australia,"27,819 ","25,522",907
Norway,"32,352 ","20,956",306
Albania,"32,196 ","15,469",685
Montenegro,"30,653 ","19,129",434
S. Korea,"30,733 ","26,466",505
Luxembourg,"30,333 ","20,014",262
Ghana,"50,874 ","49,405",323
North Macedonia,"53,631 ","31,659","1,487"
Lithuania,"47,047 ","10,945",386
El Salvador,"37,562 ","34,297","1,075"
Afghanistan,"44,706 ","35,934","1,687"
Malaysia,"54,775 ","41,597",335
Cameroon,"23,528 ","22,177",435
Kyrgyzstan,"69,581 ","60,811","1,231"
Slovenia,"65,308 ","44,137","1,052"
Nigeria,"66,228 ","61,884","1,166"
Denmark,"69,635 ","54,436",781
Singapore,"58,160 ","58,064",28
Ireland,"70,143 ","23,364","2,022"
Paraguay,"75,857 ","53,988","1,652"
Uzbekistan,"71,478 ","68,711",603
Libya,"76,808 ","47,587","1,068"
Kenya,"76,404 ","51,352","1,366"
Myanmar,"77,848 ","57,679","1,722"
Palestine,"70,254 ","58,383",620
Bosnia and Herzegovina,"79,309 ","43,793","2,246"
Algeria,"73,774 ","48,183","2,255"
Bahrain,"85,591 ","83,617",338
Tunisia,"87,471 ","61,402","2,752"
Moldova,"96,689 ","78,112","2,130"
Greece,"90,121 ","9,989","1,527"
Honduras,"104,435 ","46,208","2,857"
Azerbaijan,"89,898 ","62,243","1,107"
Croatia,"103,718 ","82,380","1,353"
Georgia,"104,732 ","85,639",976
Ethiopia,"105,352 ","65,534","1,636"
Slovakia,"96,241 ","45,883",671
Egypt,"112,676 ","101,783","6,535"
Venezuela,"99,435 ","94,355",869
Lebanon,"115,283 ","66,135",894
Serbia,"116,125 ","31,536","1,168"
Guatemala,"118,417 ","107,241","4,074"
Bulgaria,"120,697 ","35,752","2,820"
Oman,"122,081 ","113,269","1,380"
Belarus,"123,999 ","103,848","1,096"
Japan,"127,665 ","109,892","1,963"
Kazakhstan,"125,466 ","112,292","1,945"
Costa Rica,"129,418 ","79,372","1,608"
Qatar,"137,062 ","134,100",235
Dominican Republic,"137,770 ","112,090","2,308"
Kuwait,"139,734 ","131,560",863
Panama,"153,577 ","134,360","2,946"
Armenia,"126,224 ","94,090","1,952"
Hungary,"174,618 ","42,915","3,800"
UAE,"157,785 ","148,080",548
Sweden,"208,295 ",N/A,"6,406"
Austria,"247,188 ","169,260","2,388"
Ecuador,"184,876 ","160,639","13,139"
Bolivia,"143,922 ","119,180","8,904"
Jordan,"178,161 ","108,353","2,172"
Nepal,"220,308 ","199,024","1,321"
Switzerland,"290,601 ","180,700","4,031"
Portugal,"255,970 ","169,379","3,824"
Israel,"328,613 ","317,348","2,757"
Morocco,"320,962 ","266,711","5,256"
Pakistan,"374,173 ","329,828","7,662"
Romania,"412,808 ","287,310","9,916"
Philippines,"418,818 ","386,486","8,123"
Czechia,"490,750 ","394,830","7,095"
Saudi Arabia,"355,034 ","342,882","5,761"
Turkey,"440,805 ","370,825","12,219"
Bangladesh,"447,341 ","362,428","6,388"
Netherlands,"479,260 ",N/A,"8,870"
Indonesia,"497,668 ","418,188","15,884"
Canada,"325,711 ","260,398","11,406"
Iran,"854,361 ","603,445","44,802"
Germany,"918,271 ","593,100","14,239"
Poland,"861,331 ","423,971","13,618"
Peru,"948,081 ","876,399","35,549"
